Index,max,median,variance,UV_Index,DO mgO2/l,Na(mg/l),SO4 (mg/l),classification
212,87,68.0,1411.58,0.0,2.41,92.9101613832853,17.215,1
213,7,4.0,17.75,9.071520000000001,0.83,92.9101613832853,21.064,1
214,45,10.6,957.27,4.33296,2.65,92.9101613832853,34.21911720698254,1
215,9,7.0,23.14,0.005346680000000001,2.7,92.9101613832853,34.21911720698254,1
216,24,8.0,363.92,0.0,1.12,92.9101613832853,34.21911720698254,1
217,47,2.8,1013.64,0.0,7.33,25.736,49.259,1
218,162,78.0,16160.8,0.0,3.77,20.654,34.148,0
219,13,8.0,259.4,0.0,4.82,38.69,41.61,1
220,55,26.0,2572.39,0.0,2.41,12.435,6.96,1
221,9,7.0,29.53,12.31508,5.5,26.744,20.119,1
222,27,3.0,181.64,0.0,2.03,27.273,24.676,1
223,139,82.0,11694.0,0.0,3.32,8.493,26.953,0
224,21,7.8,247.89,1.783148,4.02,6.316,8.84,1
225,101,59.0,2545.49,3.3334399999999995,3.2,18.182,18.012,1
226,4,4.0,0.0,0.11974680000000001,2.84,10.989,22.451,1
227,2,2.0,3.09,14.506880000000002,3.0,20.689,36.317,1
228,31,8.3,561.7,8.453560000000001,3.64,19.373,25.391,1
229,13,7.0,73.29,0.0,3.59,20.329,48.572,1
230,35,24.0,238.48,0.0,4.84,25.17,31.457,1
231,99,29.0,8672.7,0.0,1.6,19.946,19.722,1
232,31,0.3,637.68,0.0,2.19,20.253,33.868,1
233,11,6.0,47.81,24.6126,2.15,25.5,39.986,1
234,38,16.0,905.49,3.7659399999999996,1.15,92.9101613832853,13.518,1
235,151,33.0,13130.5,0.0,2.45,92.9101613832853,30.108,0
236,31,9.4,504.88,0.0,3.43,92.9101613832853,40.921,1
237,36,28.0,555.05,0.35794,1.7,92.9101613832853,27.807,1
238,7,2.9,29.29,0.0,1.92,92.9101613832853,34.21911720698254,1
239,26,7.4,387.54,0.0,2.55,92.9101613832853,34.21911720698254,1
240,4,4.0,0.0,0.0,1.59,92.9101613832853,34.21911720698254,1
241,47,26.0,353.02,15.641680000000001,7.33,19.477,40.21,1
242,95,29.0,6463.68,0.0,2.24,26.357,40.666,1
243,20,11.0,243.21,0.0,5.22,20.286,17.154,1
244,11,7.0,153.41,0.0,4.09,9.343,9.774,1
245,191,89.0,20695.5,17.78512,4.9,25.93,20.263,0
246,14,3.0,125.2,4.6684399999999995,2.44,25.636,15.701,1
247,15,4.5,144.07,0.0,2.45,4.182,13.363,1
248,158,45.0,17266.9,0.0,2.23,7.631,9.602,0
249,250,182.0,82541.4,3.255268,1.06,19.835,21.505,0
250,107,37.0,8223.22,0.0,2.2,14.176,27.684,1
251,35,24.0,266.09,10.5746,5.68,7.917,10.657,1
252,71,57.0,633.9,20.04172,4.22,8.156,12.035,1
253,17,7.0,169.23,3.198048,3.44,27.529,56.821,1
254,13,2.0,133.92,37.9722,5.25,11.04,17.984,1
255,6,5.0,61.54,0.22986679999999998,1.13,19.567,21.181,1
256,81,75.0,135.2,4.06452,3.85,8.046,14.547,1
257,19,12.0,196.52,6.28496,3.76,7.786,9.001,1
258,150,98.0,4564.06,0.0,2.21,92.9101613832853,14.124,0
259,22,0.2,330.11,0.0,2.33,92.9101613832853,18.531,1
260,62,18.0,2334.62,0.0,3.44,92.9101613832853,17.147,1
261,61,20.0,2134.29,37.763760000000005,1.59,92.9101613832853,23.529,1
262,172,76.0,21461.3,0.0,1.55,92.9101613832853,34.21911720698254,0
263,6,5.0,17.47,17.59712,3.88,92.9101613832853,34.21911720698254,1
264,216,178.0,3536.07,3.0467079999999997,1.44,92.9101613832853,34.21911720698254,0
265,72,56.0,2421.74,1.808856,3.56,7.68,15.363,1
266,57,11.8,1813.26,1.6054320000000002,4.04,18.733,21.95,1
267,181,144.0,9603.97,0.0,3.12,8.283,17.201,0
268,5,3.0,11.23,3.8203919999999996,5.04,7.47,15.372,1
269,78,26.0,4000.46,2.7974720000000004,4.13,4.181,14.396,1
270,31,0.3,484.79,0.0,2.53,4.182,13.402,1
271,76,25.0,2551.62,0.0,2.72,7.579,10.111,1
272,91,31.0,8055.49,3.8148880000000003,3.73,7.107,12.5,1
273,6,6.0,15.36,0.1674132,3.85,4.396,10.145,1
274,18,5.0,267.68,0.0,5.42,5.497,13.637,1
275,87,25.0,7499.93,2.3015719999999997,3.04,6.148,16.635,1
276,7,5.0,36.3,1.720692,3.53,7.097,17.369,1
277,16,4.5,138.55,0.0,4.7,5.184,19.03,1
278,23,8.2,519.06,1.377368,4.27,9.189,20.385,1
279,22,0.2,392.19,8.043320000000001,4.29,4.035,8.669,1
280,79,68.0,748.24,17.40288,2.51,5.119,10.052,1
281,3,3.0,0.0,3.6439479999999995,4.71,92.9101613832853,10.889,1
282,238,193.0,5828.04,0.0,3.71,468.888,65.7,0
283,159,86.0,18735.4,4.29488,3.97,167.742,36.65,0
284,195,155.0,3741.72,7.81412,3.21,5.826,4.517,0
285,124,62.0,9836.6,0.0109,4.09,5.276,6.418,0
286,177,127.0,12401.6,0.1376868,3.87,4.091,6.496,0
287,17,3.0,217.69,0.0,2.95,2.909,6.029,1
288,41,19.0,640.27,1.664512,3.49,5.263,5.97,1
289,6,1.9,13.31,9.18944,4.21,264.463,31.292,1
290,4,2.0,6.21,33.55555999999999,1.38,260.439,64.802,1
291,12,0.2,79.5,0.0,4.76,974.648,352.581,1
292,23,9.6,337.69,14.355960000000001,3.95,267.692,87.887,1
293,5,4.0,10.25,0.0,4.26,423.529,99.695,1
294,165,87.0,14916.5,0.0,4.11,4000.0,1030.0,2
295,8,6.0,28.83,10.89512,3.64,106.666,19.713,1
296,28,11.4,481.67,0.0,4.12,4.14,5.419,1
297,22,13.0,147.17,0.0,2.82,46.905,6.778,1
298,43,18.8,1002.39,2.8459079999999997,3.96,92.9101613832853,8.514,1
299,11,3.0,67.51,28.084600000000002,4.06,3.188,4.85,1
300,9,4.0,36.94,4.08896,4.67,3.097,6.316,1
301,28,0.3,549.42,15.53132,3.28,5.978,1.063,1
302,157,42.0,15207.5,0.0,4.66,3.31,5.455,0
303,3,1.0,3.27,4.65216,3.57,1.818,4.399,1
304,24,3.0,203.98,0.0,2.83,1.636,5.862,1
305,23,7.4,323.22,0.0,3.63,3.816,4.149,1
306,15,4.6,161.92,0.0,3.88,6.887,5.402,1
307,69,50.0,1268.1,0.0,4.3,2.791,4.625,1
308,7,4.0,17.2,0.8088679999999999,5.05,3.297,5.946,1
309,7,3.0,56.86,8.31232,3.34,3.658,6.092,1
310,175,54.0,13515.9,0.0,4.05,3.736,5.071,0
311,12,5.6,65.03,10.6752,4.96,2.385,6.886,1
312,160,87.0,8700.71,11.15404,4.06,2.666,4.669,0
313,21,7.0,261.36,18.05072,3.82,2.719,4.359,1
314,18,0.2,248.53,10.10712,2.42,3.166,3.834,1
315,74,57.0,792.39,0.0,4.9,92.9101613832853,3.779,1
316,40,33.0,240.85,1.921948,4.21,3.275,3.699,1
317,3,1.0,4.31,12.004520000000001,4.05,3.032,4.224,1
318,7,5.0,20.48,16.049720000000004,3.91,4.065,1.975,1
319,43,32.0,309.78,0.022719999999999997,4.87,3.931,4.735,1
320,8,3.0,33.32,0.41447999999999996,3.95,3.0,5.146,1
321,12,8.0,68.56,0.0,3.07,2.364,5.731,1
322,16,2.0,284.94,0.0,3.91,4.158,4.029,1
323,122,74.0,15037.3,0.25748,3.83,4.215,3.938,0
324,71,52.0,2479.13,0.0,4.28,3.12,3.477,1
325,22,6.0,289.11,0.0,5.08,3.077,3.869,1
326,33,12.8,742.25,8.27128,3.51,3.447,4.071,1
327,104,79.0,1891.29,1.9147720000000001,3.75,4.302,4.105,1
328,4,4.0,5.57,4.387200000000001,4.61,2.973,10.118,1
329,31,7.0,578.18,36.77156,3.47,3.111,4.111,1
330,164,85.0,18776.5,16.38776,3.48,2.912,4.135,0
331,172,72.0,21436.4,6.975,2.37,4.643,5.06,0
332,53,8.0,1182.49,0.0,3.4,92.9101613832853,5.779,1
333,24,0.3,431.08,14.753160000000001,4.83,3.855,5.933,1
334,6,2.1,19.21,35.542399999999994,4.52,4.113,5.692,1
335,8,6.0,31.48,0.0,3.47,4.543,1.923,1
336,13,0.2,202.04,0.0,2.67,4.345,6.524,1
337,185,160.0,3046.5,20.910600000000002,3.84,3.145,5.155,0
338,8,4.1,19.42,23.1246,3.0,2.436,5.857,1
339,53,40.0,716.45,10.86992,3.84,4.421,4.282,1
340,49,6.4,1164.04,0.04836,3.86,4.986,4.901,1
341,19,4.0,210.82,0.0,3.82,3.45,4.457,1
342,7,3.0,33.24,0.0,5.63,3.341,4.876,1
343,50,30.0,946.67,0.0,3.78,5.151,8.791,1
344,55,21.1,1375.12,0.0,3.78,4.528,4.769,1
345,28,19.0,123.7,0.0,4.31,3.472,7.223,1
346,40,7.0,625.74,31.9994,3.96,3.466,4.853,1
347,19,7.4,238.72,0.1378732,4.26,3.07,4.445,1
348,29,24.0,133.62,14.966159999999999,2.42,4.881,5.792,1
349,178,84.0,14188.9,35.695240000000005,4.96,92.9101613832853,6.208,0
350,37,11.0,770.88,17.072159999999997,3.79,4.956,6.571,1
351,137,89.0,12982.6,2.784088,4.32,4.064,6.009,0
352,44,11.0,1466.3,0.0,3.82,8.37,3.108,1
353,23,9.0,303.25,0.03288668,3.95,5.048,8.412,1
354,213,43.0,21972.7,10.703800000000001,3.08,4.273,6.336,0
355,6,4.0,18.7,36.75492,2.85,2.727,7.064,1
356,107,34.0,6111.25,0.0,3.55,4.921,5.318,1
357,154,59.0,11285.4,0.0,4.56,5.51,6.197,0
358,71,31.0,1734.33,9.522639999999999,3.48,3.736,5.429,1
359,16,0.2,254.93,0.0,7.4,3.912,5.412,1
360,80,30.0,4292.15,0.0,4.54,5.169,8.895,1
361,60,20.0,1785.73,0.0,5.26,4.687,6.075,1
362,163,71.0,14284.0,0.2646668,5.47,3.623,7.672,0
363,31,12.0,449.98,0.00146,4.28,3.555,5.803,1
364,27,0.3,683.87,6.6048800000000005,3.73,3.333,4.825,1
365,23,5.3,323.95,7.1572000000000005,2.86,4.959,5.292,1
366,104,33.0,8479.11,1.015012,3.74,92.9101613832853,5.576,1
367,29,20.0,320.42,0.0,3.09,26.783,33.075,1
368,23,0.3,310.73,13.565120000000002,4.57,28.401,48.424,1
369,15,11.0,422.08,0.02531332,4.02,8.152,15.221,1
370,189,173.0,306.3,0.0,3.57,10.505,17.384,0
371,21,0.2,334.24,2.57512,2.0,16.818,19.023,1
372,10,7.0,178.3,0.0,3.4,3.455,14.219,1
373,209,154.0,29417.7,0.0,4.63,5.0,9.112,0
374,29,11.0,508.45,0.0,3.65,7.576,20.485,1
375,24,2.0,451.48,0.0,3.22,9.011,29.272,1
376,85,24.0,5110.9,0.0,1.55,16.483,31.798,1
377,44,31.0,196.45,0.0,2.88,20.0,25.406,1
378,21,0.2,460.68,0.0,3.01,17.176,41.727,1
379,27,0.3,563.13,5.10516,4.26,15.219,34.634,1
380,14,2.5,66.63,0.0,1.48,13.091,18.168,1
381,253,159.0,22917.8,0.0069508,3.41,18.734,24.526,0
382,97,40.0,8010.79,0.0,1.92,9.809,13.436,1
383,15,0.2,199.02,29.545040000000004,2.25,92.9101613832853,19.176,1
384,4,3.0,8.05,9.35064,4.66,5.043,5.554,1
385,61,21.1,2232.78,18.199520000000003,4.76,4.032,6.084,1
386,12,2.0,140.77,34.2846,3.41,5.739,3.615,1
387,34,11.0,891.02,12.88224,3.68,4.655,7.734,1
388,10,6.0,32.55,0.423588,3.74,3.145,5.876,1
389,31,23.0,276.08,27.19908,3.07,2.945,14.219,1
390,16,0.2,222.0,0.0,3.78,5.263,5.662,1
391,19,0.2,230.3,0.0,3.96,5.565,6.047,1
392,17,0.2,370.25,5.751119999999999,4.23,4.0,5.72,1
393,28,22.0,78.08,1.705368,5.67,3.78,5.608,1
394,201,109.0,24033.6,0.0,4.74,5.206,8.273,0
395,32,0.3,438.55,2.6960320000000007,4.21,5.909,9.843,1
396,21,7.8,267.95,9.9374,4.75,4.015,8.744,1
397,15,5.0,150.48,0.6455119999999999,3.89,3.555,5.69,1
398,5,4.0,8.6,9.76336,3.96,3.421,5.064,1
399,178,72.0,25056.9,13.38136,3.03,4.809,5.457,0
400,26,17.0,98.68,0.0,3.9,92.9101613832853,5.796,1
401,7,5.0,25.43,5.51896,4.26,5.165,5.409,1
402,214,68.0,19897.8,22.288800000000002,4.77,4.161,6.331,0
403,17,5.7,191.94,12.498959999999999,3.46,5.065,2.334,1
404,9,5.0,29.3,0.0,4.83,4.759,7.54,1
405,55,45.0,204.27,0.0,3.15,3.455,6.063,1
406,13,0.2,95.54,1.9972,3.05,3.0,6.431,1
407,124,38.0,9967.02,12.475319999999998,2.64,5.421,6.006,0
408,6,5.0,18.58,0.0,3.92,5.51,5.981,1
409,85,66.0,1218.1,3.26036,4.32,3.956,5.886,1
410,49,32.0,588.62,0.0,4.83,3.736,5.571,1
411,196,175.0,1316.23,0.0,4.04,5.538,10.885,0
412,11,3.2,85.11,11.021840000000001,4.43,5.66,7.994,1
413,69,52.0,1489.49,0.0,4.06,3.894,7.95,1
414,17,3.0,88.21,0.0,4.23,3.911,5.535,1
415,24,7.0,366.33,0.0,4.34,3.421,5.178,1
416,31,12.0,477.27,0.0,3.03,5.0,5.58,1
417,189,92.0,18640.7,1.35928,4.77,92.9101613832853,5.982,0
418,18,6.5,237.5,0.0,3.2087528868360273,5.13,5.465,1
419,194,91.0,26494.0,33.325919999999996,4.55,5.078,6.19,0
420,35,11.0,410.82,0.0,2.97,5.174,2.12,1
421,59,17.0,1755.53,26.80844,4.16,4.552,6.905,1
422,26,8.0,430.66,28.319440000000004,3.69,3.455,6.848,1
423,19,5.5,249.27,0.0,2.97,2.727,6.416,1
424,160,69.0,19772.9,0.0,3.44,5.053,5.19,0
425,40,28.0,459.98,0.0012799999999999999,3.56,5.84,6.145,1
426,29,11.0,347.81,0.0,4.08,4.352,8.756,1
427,5,4.0,11.75,0.0,5.27,3.868,5.717,1
428,122,43.0,8437.73,0.0,3.66,5.354,7.685,0
429,6,4.0,9.09,37.23304,4.05,5.457,14.298,1
430,33,9.6,639.59,14.058320000000002,4.04,4.64,8.147,1
431,41,16.0,903.67,0.16550000000000004,3.43,3.555,5.208,1
432,12,7.0,193.34,0.0,4.13,3.456,5.19,1
433,159,91.0,11923.0,0.0,2.94,5.0,5.652,0
434,43,16.0,1352.6,2.0347880000000003,4.08,92.9101613832853,5.727,1
