Index,UV_Index,classification
1,37.81908,2
2,6.8532,2
3,0.0,0
4,21.765079999999998,2
5,0.0,0
6,29.789720000000003,2
7,9.40748,2
8,28.309600000000003,2
9,0.0,0
10,3.8562000000000003,1
11,0.0,0
12,14.78496,2
13,17.53876,2
14,4.44164,1
15,1.6381880000000002,0
16,15.589960000000001,2
17,0.0,0
18,0.0,0
19,0.00015999999999999999,0
20,1.1646320000000001,0
21,9.530639999999998,2
22,6.892999999999999,2
23,2.5241200000000004,1
24,25.67636,2
25,17.237000000000002,2
26,9.3906,2
27,0.0,0
28,0.7112799999999999,0
29,0.0,0
30,4.06304,1
31,31.574959999999997,2
32,0.0,0
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,9.92688,2
38,0.0,0
39,0.0,0
40,0.0,0
41,9.203600000000002,2
42,0.707876,0
43,24.236520000000002,2
44,0.0057,0
45,10.43288,2
46,38.9574,2
47,0.01182668,0
48,,2
49,0.22154079999999998,0
50,2.069852,1
51,0.0,0
52,0.0,0
53,36.10124,2
54,0.0,0
55,0.0,0
56,32.21824,2
57,2.467712,1
58,0.0,0
59,0.0,0
60,4.16388,1
61,0.0,0
62,9.71528,2
63,27.29272,2
64,0.0,0
65,32.2746,2
66,0.0,0
67,0.0,0
68,10.07408,2
69,9.86936,2
70,0.0,0
71,0.0,0
72,0.0,0
73,4.8670800000000005,1
74,0.0,0
75,3.4931479999999997,1
76,0.0,0
77,0.0,0
78,37.61016,2
79,5.22392,2
80,0.0,0
81,0.0,0
82,0.0,0
83,0.0,0
84,0.0,0
85,0.01132668,0
86,0.0,0
87,0.1524132,0
88,0.0,0
89,27.7322,2
90,27.250840000000004,2
91,17.02524,2
92,0.9970600000000001,0
93,25.956799999999998,2
94,11.539160000000003,2
95,0.0,0
96,9.79692,2
97,20.02552,2
98,0.002106667999999996,0
99,0.2117868,0
100,0.0,0
101,3.2110719999999997,1
102,0.0,0
103,0.0,0
104,9.60796,2
105,11.131359999999999,2
106,36.005720000000004,2
107,43.3964,2
108,0.0,0
109,0.015346679999999998,0
110,9.68932,2
111,0.3772468,0
112,7.56076,2
113,0.016513319999999998,0
114,0.0,0
115,4.00716,1
116,12.588159999999998,2
117,22.48964,2
118,33.52304,2
119,21.164920000000002,2
120,0.0,0
121,18.197560000000003,2
122,0.631688,0
123,26.8596,2
124,0.0,0
125,9.31952,2
126,3.41646,1
127,4.31172,1
128,36.65356,2
129,0.0,0
130,0.0,0
131,0.850032,0
132,35.8642,2
133,0.0,0
134,0.0,0
135,2.002452,1
136,0.0,0
137,0.00943728,0
138,7.058560000000002,2
139,8.51476,2
140,0.0,0
141,11.324160000000001,2
142,0.00484668,0
143,0.0,0
144,5.99736,2
145,0.0,0
146,0.0,0
147,1.24332,0
148,0.0,0
149,0.0,0
150,0.0,0
151,4.968039999999999,1
152,0.11550000000000002,0
153,22.600720000000003,2
154,19.03312,2
155,0.36223320000000003,0
156,0.0,0
157,0.0,0
158,0.0,0
159,0.2577532,0
160,0.0,0
161,27.2802,2
162,34.52652,2
163,0.0,0
164,0.0,0
165,0.0,0
166,8.27192,2
167,6.401120000000001,2
168,5.307200000000001,2
169,0.0,0
170,0.0,0
171,0.0,0
172,0.5805279999999999,0
173,0.0,0
174,0.01348,0
175,0.0,0
176,4.1718,1
177,29.561799999999998,2
178,0.0,0
179,0.0,0
180,,2
181,0.0003533332,0
182,0.0,0
183,1.9361320000000002,0
184,18.50036,2
185,3.8051719999999998,1
186,7.4914000000000005,2
187,0.0,0
188,0.0,0
189,0.0,0
190,0.0,0
191,35.98584,2
192,3.490272,1
193,22.262039999999995,2
194,0.0,0
195,8.49416,2
196,11.02356,2
197,4.52856,1
198,12.015440000000002,2
199,0.0,0
200,3.801812,1
201,0.0,0
202,0.0,0
203,0.0,0
204,0.0,0
205,5.963919999999999,2
206,3.072868,1
207,19.034,2
208,0.7042919999999999,0
209,0.0,0
210,0.0,0
211,4.0282,1
212,0.0,0
213,9.071520000000001,2
214,4.33296,1
215,0.005346680000000001,0
216,0.0,0
217,0.0,0
218,0.0,0
219,0.0,0
220,0.0,0
221,12.31508,2
222,0.0,0
223,0.0,0
224,1.783148,0
225,3.3334399999999995,1
226,0.11974680000000001,0
227,14.506880000000002,2
228,8.453560000000001,2
229,0.0,0
230,0.0,0
231,0.0,0
232,0.0,0
233,24.6126,2
234,3.7659399999999996,1
235,0.0,0
236,0.0,0
237,0.35794,0
238,0.0,0
239,0.0,0
240,0.0,0
241,15.641680000000001,2
242,0.0,0
243,0.0,0
244,0.0,0
245,17.78512,2
246,4.6684399999999995,1
247,0.0,0
248,0.0,0
249,3.255268,1
250,0.0,0
251,10.5746,2
252,20.04172,2
253,3.198048,1
254,37.9722,2
255,0.22986679999999998,0
256,4.06452,1
257,6.28496,2
258,0.0,0
259,0.0,0
260,0.0,0
261,37.763760000000005,2
262,0.0,0
263,17.59712,2
264,3.0467079999999997,1
265,1.808856,0
266,1.6054320000000002,0
267,0.0,0
268,3.8203919999999996,1
269,2.7974720000000004,1
270,0.0,0
271,0.0,0
272,3.8148880000000003,1
273,0.1674132,0
274,0.0,0
275,2.3015719999999997,1
276,1.720692,0
277,0.0,0
278,1.377368,0
279,8.043320000000001,2
280,17.40288,2
281,3.6439479999999995,1
282,0.0,0
283,4.29488,1
284,7.81412,2
285,0.0109,0
286,0.1376868,0
287,0.0,0
288,1.664512,0
289,9.18944,2
290,33.55555999999999,2
291,0.0,0
292,14.355960000000001,2
293,0.0,0
294,0.0,0
295,10.89512,2
296,0.0,0
297,0.0,0
298,2.8459079999999997,1
299,28.084600000000002,2
300,4.08896,1
301,15.53132,2
302,0.0,0
303,4.65216,1
304,0.0,0
305,0.0,0
306,0.0,0
307,0.0,0
308,0.8088679999999999,0
309,8.31232,2
310,0.0,0
311,10.6752,2
312,11.15404,2
313,18.05072,2
314,10.10712,2
315,0.0,0
316,1.921948,0
317,12.004520000000001,2
318,16.049720000000004,2
319,0.022719999999999997,0
320,0.41447999999999996,0
321,0.0,0
322,0.0,0
323,0.25748,0
324,0.0,0
325,0.0,0
326,8.27128,2
327,1.9147720000000001,0
328,4.387200000000001,1
329,36.77156,2
330,16.38776,2
331,6.975,2
332,0.0,0
333,14.753160000000001,2
334,35.542399999999994,2
335,0.0,0
336,0.0,0
337,20.910600000000002,2
338,23.1246,2
339,10.86992,2
340,0.04836,0
341,0.0,0
342,0.0,0
343,0.0,0
344,0.0,0
345,0.0,0
346,31.9994,2
347,0.1378732,0
348,14.966159999999999,2
349,35.695240000000005,2
350,17.072159999999997,2
351,2.784088,1
352,0.0,0
353,0.03288668,0
354,10.703800000000001,2
355,36.75492,2
356,0.0,0
357,0.0,0
358,9.522639999999999,2
359,0.0,0
360,0.0,0
361,0.0,0
362,0.2646668,0
363,0.00146,0
364,6.6048800000000005,2
365,7.1572000000000005,2
366,1.015012,0
367,0.0,0
368,13.565120000000002,2
369,0.02531332,0
370,0.0,0
371,2.57512,1
372,0.0,0
373,0.0,0
374,0.0,0
375,0.0,0
376,0.0,0
377,0.0,0
378,0.0,0
379,5.10516,2
380,0.0,0
381,0.0069508,0
382,0.0,0
383,29.545040000000004,2
384,9.35064,2
385,18.199520000000003,2
386,34.2846,2
387,12.88224,2
388,0.423588,0
389,27.19908,2
390,0.0,0
391,0.0,0
392,5.751119999999999,2
393,1.705368,0
394,0.0,0
395,2.6960320000000007,1
396,9.9374,2
397,0.6455119999999999,0
398,9.76336,2
399,13.38136,2
400,0.0,0
401,5.51896,2
402,22.288800000000002,2
403,12.498959999999999,2
404,0.0,0
405,0.0,0
406,1.9972,0
407,12.475319999999998,2
408,0.0,0
409,3.26036,1
410,0.0,0
411,0.0,0
412,11.021840000000001,2
413,0.0,0
414,0.0,0
415,0.0,0
416,0.0,0
417,1.35928,0
418,0.0,0
419,33.325919999999996,2
420,0.0,0
421,26.80844,2
422,28.319440000000004,2
423,0.0,0
424,0.0,0
425,0.0012799999999999999,0
426,0.0,0
427,0.0,0
428,0.0,0
429,37.23304,2
430,14.058320000000002,2
431,0.16550000000000004,0
432,0.0,0
433,0.0,0
434,2.0347880000000003,1
